No.,ID Pelanggan,Nama,Alamat,Kota,Provinsi,Negara,Kode Pos,NPWP,Nama Wajib Pajak,Hutang,Nomor Faktur
1,C.00001,BERITO PANGAN MAKMUR,"JL PETA SELATAN RUKO CITY SQUARE, E, 1-2 Blok 000 No.000 RT:000 RW:000 Kel.KALIDERES Kec.KALIDERES Kota/Kab.KOTA ADM. JAKARTA BARAT DKI JAKARTA 11840",JAKARTA BARAT,DKI JAKARTA,Indonesia,,0901826545033000,BERITO PANGAN MAKMUR,,
2,C.00002,CV. AZZAM JAYA,"JL MAMPANG PRAPATAN RAYA NO. 73 LT.3 RT.010 RW.002, TEGAL PARANG, MAMPANG PRAPATAN, JAKARTA SELATAN DKI JAKARTA",JAKARTA SELATAN,DKI JAKARTA,Indonesia,,0859217515014000,AZZAM JAYA,,
3,C.00003,CV. CIVAN ANUGRAH IBRAHIM,MELATI BULAKREJO Blok - No.- RT:002 RW:008 Kel.- Kec.BULAKREJO Kota/Kab.SUKOHARJO JAWA TENGAH 00000,KAB. SUKOHARJO,JAWA TENGAH,Indonesia,,0969436096532000,CIVAN ANUGRAH IBRAHIM,,
4,C.00004,CV. JAUHARI BINTANG SEJAHTERA,"JL. MELATI RAYA BLOK.- NO.87 RT.007 RW.003, TANAH TINGGI, TANGERANG, KOTA TANGERANG BANTEN",KOTA TANGERANG,BANTEN,Indonesia,,0991893686416000,JAUHARI BINTANG SEJAHTERA,,
5,C.00005,CV. MAKMUR LANCAR MART,"JL. IMAM BONJOL GG NANGKA, 11, GEDONG AIR, TANJUNGKARANG BARAT, KOTA BANDAR LAMPUNG, LAMPUNG, 35156",KOTA BANDAR LAMPUNG,LAMPUNG,Indonesia,,0600166474322000,MAKMUR LANCAR MART,,
6,C.00006,CV. VISS DAYA PRATAMA,SANGGAR INDAH BANJARAN Blok E1 No.24 RT:005 RW:006 Kel.NAGRAK Kec.CANGKUANG Kota/Kab.BANDUNG JAWA BARAT 00000,KAB. BANDUNG,JAWA  BARAT,Indonesia,,0316533975445000,VISS DAYA PRATAMA,,
7,C.00007,DEWI SAKTI ABADI,KOMPLEK GADING BUKIT INDAH Blok U No.33/3 RT:000 RW:000 Kel.KELAPA GADING Kec.- Kota/Kab.ADM JAKARTA UTARA DKI JAKARTA 14240,JAKARTA UTARA,DKI JAKARTA,Indonesia,,0653857623043000,DEWI SAKTI ABADI,,
8,C.00008,INDAH JAYA INDONESIA,"JL MARGOMULYO, 61, TAMBAK SARIOSO, ASEM ROWO, Blok 000 No.000 RT:000 RW:000 Kel.- Kec.- Kota/Kab.SURABAYA JAWA TIMUR 60184",KOTA SURABAYA,JAWA TIMUR,Indonesia,,0661798942614000,INDAH JAYA INDONESIA,,
9,C.00009,JAGO SUKSES MAKMUR,"JL. SURYAKENCANA, 265, BABAKAN PASAR, BOGOR TENGAH, KOTA BOGOR, JAWA BARAT, 16126",KOTA BOGOR,JAWA BARAT,Indonesia,,0838339299404000,JAGO SUKSES MAKMUR,,
10,C.00010,MARITIME GLOBAL TRADING,"JL. PINTU AIR RAYA,47, PASAR BARU, SAWAH BESAR, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA,10710",JAKARTA PUSAT,DKI JAKARTA,Indonesia,10710,0659814255075000,MARITIME GLOBAL TRADING,,
11,C.00011,METRO IMPEX MAKMUR,"GEDUNG KIRANA TWO OFFICE TOWER LT.10-A, JALAN BOULEVARD TIMUR,-,88, PEGANGSAAN DUA, KELAPA GADING, KOTA ADM. JAKARTA UTARA, DKI JAKARTA, 14250",JAKARTA UTARA,DKI JAKARTA,Indonesia,,0820001451043000,METRO IMPEX MAKMUR,,
12,C.00012,MITRA JAYA PRIMA,"JL.GANESA RAYA, 101, Blok - No.- RT:000 RW:000 Kel.PEDURUNGAN TENGAH Kec.PEDURUNGAN Kota/Kab.SEMARANG JAWA TENGAH 50192",KOTA SEMARANG,JAWA TENGAH,Indonesia,,0720994938518000,MITRA JAYA PRIMA,,
