No,Kategori Barang,Merek Barang,Kode Barang,Nama Barang,UPC/Barcode,Satuan,Stock,,,,,,,,,,,,,,,,,,,
122,Food,Doritos,FOODORITOS-122,Doritos Snack Jagung Bakar (Roasted Corn) 55Gr,8994462790123,KARTON,,,,,,,,,,,,,,,,,,,,
412,Food,Lays,FOOLAYS-412,Lays Seaweed 64Gr,8994462790024,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
540,Beverage,Pikopi,BEVPIKOPI-540,Pikopi 3In1 Coffeemix Bag,8991002114012,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
121,Food,Doritos,FOODORITOS-121,Doritos Snack Jagung Bakar (Roasted Corn) 120Gr,8994462790147,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
414,Food,Lays,FOOLAYS-414,Lays Wavy Beef Bbq 64Gr,8994462790062,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
679,Food,Wow,FOOWOW-679,Wow Spaghetti Aglio Olio 75G,8996001526378,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
505,Food,Nestle,FOONESTLE-505,Nestle Combo Pack Honey Star 48Pack,8992696428300,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
51,Food,Calbee,FOOCALBEE-051,Calbee Wings Snack Guribee Layers Seaweed 30X68Gr,8998866202978,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
123,Food,Doritos,FOODORITOS-123,Doritos Snack Sambal Salsa (Salsa Chili) 120Gr,8994462790154,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
13,Food,Abc,FOOABC-013,Abc Sambal Extra Pedas 335Ml,711844120075,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
508,Food,Nestle,FOONESTLE-508,Nestle Combo Pack Milo Ball 32Gr,8992696428297,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
513,Food,Oatside,FOOOATSIDE-513,Oatside Chocolate 1000Ml,8997240600027,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
521,Food,Oreo,FOOOREO-521,Oreo Sandwich Blueberyy 110.4Gr,7622300442507,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
522,Food,Oreo,FOOOREO-522,Oreo Sandwich Choco 110.4Gr,8992760223015,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
1,Beverage,A&W,BEVAW-001,A&W Soft Drink (24 Cans X 250 Ml),8992761111687,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
2,Food,Abc,FOOABC-002,Abc Extra Pedas Botol 335Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
3,Food,Abc,FOOABC-003,Abc Kecap 130Ml,711844110113,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
4,Food,Abc,FOOABC-004,Abc Kecap 275Ml,711844110083,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
5,Food,Abc,FOOABC-005,Abc Kecap 62Gr,711844110182,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
6,Food,Abc,FOOABC-006,Abc Kecap Manis Jerigen 5Liter,711844110519,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
7,Food,Abc,FOOABC-007,Abc Kecap Pet 600Ml,711844110021,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
8,Food,Abc,FOOABC-008,Abc Sambal 65Gr,711844120549,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
9,Food,Abc,FOOABC-009,Abc Sambal Asli 335Ml,711844120013,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
10,Food,Abc,FOOABC-010,Abc Sambal Asli 380Gr,711844120525,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
11,Food,Abc,FOOABC-011,Abc Sambal Botol 130Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
12,Food,Abc,FOOABC-012,Abc Sambal Botol 270Ml,711844120419,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
14,Food,Abc,FOOABC-014,Abc Sambal Extra Pedas 65Gr,711844120556,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
15,Food,Abc,FOOABC-015,Abc Sambal Extra Pedas Botol 270Ml,,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
16,Food,Abc,FOOABC-016,Abc Sambal Sc Extra Pedas,711844120365,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
17,Food,Abc,FOOABC-017,Abc Sambal Sc Pk,711844120327,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
18,Food,Abc,FOOABC-018,Abc Sambal St Extra Pedas,711844120341,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
19,Food,Abc,FOOABC-019,Abc Sambal St Pk,711844120310,KARTON,Tidak Ada,,,,,,,,,,,,,,,,,,,
