Tipe Silang,Tgl Beli,No LPB,Sales Beli,Supplier,Nama Barang,Qty Silang,HPP Beli,Tgl Jual,No SJ,Sales Jual,Customer
PF dipakai BC,2026-03-31,KB-LPBD-20260331-004,PF,"CV SAMUDRA JAYA ABADI","Gatsby Facewash Oil Control 100Grx36",5,650811,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-31,KB-LPBD-20260331-004,PF,"CV SAMUDRA JAYA ABADI","Gatsby Facewash Clear Whitening 100Grx36",5,650811,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-01-19,KB-LPBD-19012026-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Super Hard 216X30Gr",15,753081.08,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-01-19,KB-LPBD-19012026-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Hyper Solid 216X30Gr",30,753081.08,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-04,KB-LPBD-20260304-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Hard 96X75Gr",10,619819.82,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-04,KB-LPBD-20260304-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Super Hard 96X75Gr",10,619819.82,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-01-19,KB-LPBD-19012026-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Hyper Solid 96X75Gr",10,619819.82,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-04,KB-LPBD-20260304-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Hyper Solid 96X75Gr",10,588828.83,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-08,KB-LPBD-20260408-001,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Soft 48X150Gr",5,588828.83,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-08,KB-LPBD-20260408-001,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Hard 48X150Gr",22,588828.83,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-08,KB-LPBD-20260408-001,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Super Hard 150Grx48",23,588828.83,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-08,KB-LPBD-20260408-001,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Hyper Solid 48X150Gr",40,588828.83,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-02-27,KB-LPBD-27022026-002,PF,"CV SAMUDRA JAYA ABADI","Gatsby Water Gloss Hyper Solid 36X300Gr",10,674054.1,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-04,KB-LPBD-20260304-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Eau De Blue Deo Roll On Skyline Code 48X50Ml",5,619819.82,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-04,KB-LPBD-20260304-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Eau De Blue Deo Roll On Earth Code 48X50Ml",5,619819.82,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-04,KB-LPBD-20260304-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Eau De Blue Deo Roll On Air Code 48X50Ml",5,619819.82,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-04,KB-LPBD-20260304-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Eau De Bold Deodorant Roll On Space Code 50 Mlx48",15,619819.82,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-03-04,KB-LPBD-20260304-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Eau De Bold Deodorant Roll On Moon Code 50 Mlx48",15,619819.82,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-01-19,KB-LPBD-19012026-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Eau De Blue Eau De Parfum Skyline Code 48X100Ml",5,1332612.61,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-01-19,KB-LPBD-19012026-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Eau De Blue Eau De Parfum Earth Code 48X100Ml",5,1332612.61,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-01-19,KB-LPBD-19012026-008,PF,"CV SAMUDRA JAYA ABADI","Gatsby Eau De Blue Eau De Parfum Air Code 48X100Ml",5,1332612.61,2026-01-20,SJ-836-20012026-003,BC,"PT. MITRA ASIA SYNERGY"
PF dipakai BC,2026-01-30,KB-LPBD-30012026-001,PF,"PT SEKAR WANGI ADA PERKASA","Chitato Snack Cheese Supreme 65Gr",400,202477.48,2026-01-30,SJ-583-30012026-010,BC,"PT. SANIKI DISTRIBUTION INDONESIA"
PF dipakai BC,2026-01-30,KB-LPBD-30012026-001,PF,"PT SEKAR WANGI ADA PERKASA","Chitato Indomie Goreng 65Gr",200,202477.48,2026-01-30,SJ-583-30012026-010,BC,"PT. SANIKI DISTRIBUTION INDONESIA"
BC dipakai PF,2026-01-28,KB-LPB-28012026-008,BC,"LOTTE MART GANDARIA CITY","Sunlight 610Ml",50,87000,2026-03-31,SJ-287-31032026-005,PF,"ADRIAN"
